id	item_group_id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	availability	shipping_weight	brand	mpn	condition	product_type	google_product_category	identifier_exists	is_bundle	shipping	upc	gtin	sku
10004	 	4-in-1 Liquid Foundation	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deeper-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-tan-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deep-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-tan-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-dark-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-medium-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-medium-dark-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-blush-medium-cap-on.jpg,https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deeper-cap-off-to-side_1.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	10004	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	 	 	10004
951227060	10004	4-in-1 Liquid Foundation in Tan	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-tan-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-tan-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227060	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002893	847137002893	951227060
951227070	10004	4-in-1 Liquid Foundation in Medium Dark	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-medium-dark-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-medium-dark-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227070	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002909	847137002909	951227070
951227080	10004	4-in-1 Liquid Foundation in Golden Dark	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-dark-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-dark-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227080	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002916	847137002916	951227080
951227090	10004	4-in-1 Liquid Foundation in Deep	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deep-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deep-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227090	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002923	847137002923	951227090
951227100	10004	4-in-1 Liquid Foundation in Deeper	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deeper-cap-on.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-deeper-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227100	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002930	847137002930	951227100
951227050	10004	4-in-1 Liquid Foundation in Light Tan	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-tan-seal-72dpi.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-tan-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227050	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002886	847137002886	951227050
951227030	10004	4-in-1 Liquid Foundation in Blush Medium	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-blush-medium-seal-72dpi.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-blush-medium-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227030	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002862	847137002862	951227030
951227040	10004	4-in-1 Liquid Foundation in Golden Medium	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-medium-seal-72dpi.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-golden-medium-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227040	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002879	847137002879	951227040
951227020	10004	4-in-1 Liquid Foundation in Light	How long can you go without a touchup? A few hours? Until lunchtime? With PÜR's 4-in-1 Liquid Foundation with SPF 15, you get hours of uninterrupted complexion perfection. Lightweight and oil-free, this dermatologist-tested formula offers all-day true color that won't smudge, rub off or fade. Enriched with age-defying Ceretin Complex, this foundation revelation draws vital moisture to the skin for a look so flawlessly fresh you might forget you're wearing makeup.	https://www.purcosmetics.com/4-in-1-liquid-foundation?utm_source=google_shopping	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-seal-72dpi.jpg	https://www.purcosmetics.com/media/catalog/product/4/-/4-in-1-liquid-foundation-light-swatch.jpg	36.00 USD	 	 	in stock	0.29 lb	Pur Cosmetics	951227020	new	Pur Category > Makeup > Face > Foundation,Pur Category > Makeup > Best Sellers,Pur Category > Makeup > Face	 	 	FALSE	 	847137002855	847137002855	951227020
